# mcs  k  T(k)  Q(k)  Eavg(k)
         200   14     1.576471           24       -74.7626531956
         200   15     1.682353           -2       -82.6428221028
         200   16     1.788235          -32       -79.5854324121
         200   17     1.894118          -30       -77.1703126035
         200   18     2.000000          -16       -68.9149972246
         210    1     0.200000          -26       -98.0349322576
         210    2     0.305882           -8       -96.5839639365
         210    3     0.411765          -36       -97.0211642977
         210    4     0.517647          -46       -97.4465227752
         210    5     0.623529           -8       -96.1836352360
         210    6     0.729412          -10       -95.3305214982
         210    7     0.835294          -30       -96.2436856093
         210    8     0.941176          -44       -91.4948327541
         210    9     1.047059          -44       -94.1004560925
         210   10     1.152941           24       -86.3164106289
         210   11     1.258824          -28       -87.3221026738
         210   12     1.364706           32       -83.7835671264
         210   13     1.470588            8       -90.8583342574
         210   14     1.576471          -12       -77.6890733105
         210   15     1.682353          -26       -80.9078998432
         210   16     1.788235           -2       -76.7848910742
         210   17     1.894118           -6       -74.6677238652
         210   18     2.000000          -28       -69.7028632332
         220    1     0.200000          -24       -98.1486441145
         220    2     0.305882            4       -99.3408266444
         220    3     0.411765          -46       -97.2297725257
         220    4     0.517647          -10       -96.8217858822
         220    5     0.623529          -52       -97.4911129658
         220    6     0.729412          -26       -96.1259146727
         220    7     0.835294          -22       -93.9701066702
         220    8     0.941176          -32       -95.2633314519
         220    9     1.047059          -16       -89.2423103931
         220   10     1.152941          -22       -88.5109617629
         220   11     1.258824           14       -90.3115650044
         220   12     1.364706          -34       -95.0589794486
         220   13     1.470588          -42       -81.5486768244
         220   14     1.576471          -30       -89.5886924206
         220   15     1.682353          -14       -81.8055681920
         220   16     1.788235          -18       -88.3817097270
         220   17     1.894118          -10       -71.5778957071
         220   18     2.000000          -30       -74.4705885674
         230    1     0.200000            4       -99.3408266444
         230    2     0.305882          -24       -98.2586007455
         230    3     0.411765          -44       -97.7188867134
         230    4     0.517647          -14       -97.0054190617
         230    5     0.623529          -26       -95.8747429315
         230    6     0.729412          -44       -96.1733628535
         230    7     0.835294           -2       -92.6706214348
         230    8     0.941176          -32       -91.3542237194
         230    9     1.047059          -32       -87.2652803509
         230   10     1.152941            4       -94.8272968856
         230   11     1.258824          -12       -91.1801445972
         230   12     1.364706           -6       -78.3846802139
         230   13     1.470588          -24       -80.0153055735
         230   14     1.576471          -12       -84.3378350561
         230   15     1.682353          -18       -87.8219177685
         230   16     1.788235          -12       -75.3165279972
         230   17     1.894118           14       -76.5816294664
         230   18     2.000000            2       -66.3897262308
         240    1     0.200000            4       -99.3408266444
         240    2     0.305882           24       -97.9281747758
         240    3     0.411765           46       -97.2687721374
         240    4     0.517647          -26       -98.1588668113
         240    5     0.623529          -12       -95.8570667522
         240    6     0.729412           -4       -93.6019051447
         240    7     0.835294          -46       -93.9592833871
         240    8     0.941176          -20       -92.6741626320
         240    9     1.047059          -54       -92.8239629943
         240   10     1.152941           -4       -89.3874546973
         240   11     1.258824          -26       -85.2628255248
         240   12     1.364706          -16       -85.8235105138
         240   13     1.470588            4       -78.5418791969
         240   14     1.576471          -28       -82.6645112713
         240   15     1.682353            8       -87.8179691888
         240   16     1.788235          -12       -75.6979191141
         240   17     1.894118          -12       -79.4088256807
         240   18     2.000000           22       -74.3338492616
         250    1     0.200000           34       -99.4555888362
         250    2     0.305882           -8       -98.0224026091
         250    3     0.411765           -4       -97.2904383091
         250    4     0.517647           48       -95.7375559587
         250    5     0.623529          -12       -96.2187178525
         250    6     0.729412           -8       -96.0772978331
         250    7     0.835294          -42       -96.0708239423
         250    8     0.941176          -42       -90.3547836346
         250    9     1.047059            4       -88.3709932516
         250   10     1.152941          -36       -88.1235421285
         250   11     1.258824           -4       -88.7590703357
         250   12     1.364706          -40       -86.8287833128
         250   13     1.470588          -30       -93.4880937801
         250   14     1.576471           -8       -86.7818814253
         250   15     1.682353          -14       -85.6766680919
         250   16     1.788235            2       -78.7816360075
         250   17     1.894118           14       -68.3047939511
         250   18     2.000000           -6       -67.9722306263
         260    1     0.200000           32       -99.6263820351
         260    2     0.305882           -6       -98.1907435651
         260    3     0.411765           -8       -98.0224026091
         260    4     0.517647           50       -96.5277276650
         260    5     0.623529          -14       -93.8474889211
         260    6     0.729412          -52       -95.4383419966
         260    7     0.835294          -12       -93.2822230085
         260    8     0.941176            4       -93.1328750125
         260    9     1.047059          -30       -90.6139464345
         260   10     1.152941           -8       -90.1290922368
         260   11     1.258824           10       -82.4238251514
         260   12     1.364706           20       -82.0134124598
         260   13     1.470588           14       -77.3436864673
         260   14     1.576471            2       -87.1981345500
         260   15     1.682353            2       -76.6041079395
         260   16     1.788235           10       -79.8686705123
         260   17     1.894118          -12       -72.4750850752
         260   18     2.000000          -30       -74.5875507793
         270    1     0.200000           32       -98.5446407230
         270    2     0.305882          -30       -98.8665175498
         270    3     0.411765           54       -97.7628702027
         270    4     0.517647          -10       -97.0797206411
         270    5     0.623529          -56       -94.9129296324
         270    6     0.729412          -10       -95.1179679448
         270    7     0.835294          -10       -97.6146897450
         270    8     0.941176           -2       -96.9664847570
         270    9     1.047059          -40       -93.6501957849
         270   10     1.152941            8       -85.2709863051
         270   11     1.258824           -8       -87.6892454838
         270   12     1.364706          -52       -88.7300530701
         270   13     1.470588           -2       -88.9431220464
         270   14     1.576471           18       -85.4759011707
         270   15     1.682353            4       -75.0209623292
         270   16     1.788235            6       -79.9192276791
         270   17     1.894118          -38       -87.0849297609
         270   18     2.000000            6       -74.8891888930
         280    1     0.200000           32       -98.5446407230
         280    2     0.305882          -36       -99.0681872189
         280    3     0.411765           56       -96.6447151081
         280    4     0.517647          -54       -96.3837732826
         280    5     0.623529          -10       -97.7872284807
         280    6     0.729412            0       -94.6785702042
         280    7     0.835294           42       -92.0075947140
         280    8     0.941176           44       -95.9461042443
         280    9     1.047059           26       -87.3529841306
         280   10     1.152941          -12       -93.0720210011
         280   11     1.258824            0       -90.0408416236
         280   12     1.364706           -6       -84.7626658365
         280   13     1.470588          -38       -88.1966036029
         280   14     1.576471            4       -87.0320379593
         280   15     1.682353            8       -84.2362331894
         280   16     1.788235          -24       -92.5375407710
         280   17     1.894118            2       -74.9107780681
         280   18     2.000000          -32       -82.9782331566
         290    1     0.200000          -36       -99.0681872189
         290    2     0.305882           32       -98.5446407230
         290    3     0.411765          -56       -96.6876174312
         290    4     0.517647           48       -96.5187041027
         290    5     0.623529            6       -96.2064371840
         290    6     0.729412           -6       -96.7105695149
         290    7     0.835294           36       -94.9511938837
         290    8     0.941176           38       -94.9557415123
         290    9     1.047059           36       -90.2349251022
         290   10     1.152941           -4       -85.1868118907
         290   11     1.258824            2       -89.3489421231
         290   12     1.364706          -12       -83.9487599085
         290   13     1.470588            4       -84.4437545449
         290   14     1.576471          -14       -80.4911434806
         290   15     1.682353           -4       -86.7024755866
         290   16     1.788235           26       -76.7092945982
         290   17     1.894118           -8       -73.0209898866
         290   18     2.000000            6       -61.6951243866
         300    1     0.200000          -34       -99.2724848772
         300    2     0.305882          -62       -97.9181041395
         300    3     0.411765           34       -97.6443354671
         300    4     0.517647           -4       -96.9497372510
         300    5     0.623529           50       -95.4893756049
         300    6     0.729412          -22       -93.5424803689
         300    7     0.835294          -22       -93.0184792147
         300    8     0.941176           26       -93.2621414272
         300    9     1.047059           38       -94.8833767210
