# nmeas_total =          700
# k  T  Q  count
   5     0.513043      9            0
   5     0.513043     10            5
   5     0.513043     11            0
   5     0.513043     12            0
   5     0.513043     13            0
   5     0.513043     14            1
   5     0.513043     15            0
   5     0.513043     16            0
   5     0.513043     17            0
   5     0.513043     18            5
   5     0.513043     19            0
   5     0.513043     20            3
   5     0.513043     21            0
   5     0.513043     22            6
   5     0.513043     23            0
   5     0.513043     24            7
   5     0.513043     25            0
   5     0.513043     26            5
   5     0.513043     27            0
   5     0.513043     28            8
   5     0.513043     29            0
   5     0.513043     30           10
   5     0.513043     31            0
   5     0.513043     32            8
   5     0.513043     33            0
   5     0.513043     34            7
   5     0.513043     35            0
   5     0.513043     36           10
   5     0.513043     37            0
   5     0.513043     38            6
   5     0.513043     39            0
   5     0.513043     40           14
   5     0.513043     41            0
   5     0.513043     42           22
   5     0.513043     43            0
   5     0.513043     44           23
   5     0.513043     45            0
   5     0.513043     46           33
   5     0.513043     47            0
   5     0.513043     48           19
   5     0.513043     49            0
   5     0.513043     50           20
   5     0.513043     51            0
   5     0.513043     52           17
   5     0.513043     53            0
   5     0.513043     54           12
   5     0.513043     55            0
   5     0.513043     56           18
   5     0.513043     57            0
   5     0.513043     58           13
   5     0.513043     59            0
   5     0.513043     60           25
   5     0.513043     61            0
   5     0.513043     62           36
   5     0.513043     63            0
   5     0.513043     64           34
   6     0.591304    -64           14
   6     0.591304    -63            0
   6     0.591304    -62           14
   6     0.591304    -61            0
   6     0.591304    -60           11
   6     0.591304    -59            0
   6     0.591304    -58            8
   6     0.591304    -57            0
   6     0.591304    -56           11
   6     0.591304    -55            0
   6     0.591304    -54            9
   6     0.591304    -53            0
   6     0.591304    -52           13
   6     0.591304    -51            0
   6     0.591304    -50           12
   6     0.591304    -49            0
   6     0.591304    -48           19
   6     0.591304    -47            0
   6     0.591304    -46           25
   6     0.591304    -45            0
   6     0.591304    -44           29
   6     0.591304    -43            0
   6     0.591304    -42           17
   6     0.591304    -41            0
   6     0.591304    -40           27
   6     0.591304    -39            0
   6     0.591304    -38           17
   6     0.591304    -37            0
   6     0.591304    -36           11
   6     0.591304    -35            0
   6     0.591304    -34           11
   6     0.591304    -33            0
   6     0.591304    -32           15
   6     0.591304    -31            0
   6     0.591304    -30           15
   6     0.591304    -29            0
   6     0.591304    -28            9
   6     0.591304    -27            0
   6     0.591304    -26           10
   6     0.591304    -25            0
   6     0.591304    -24            7
   6     0.591304    -23            0
   6     0.591304    -22            6
   6     0.591304    -21            0
   6     0.591304    -20            4
   6     0.591304    -19            0
   6     0.591304    -18            8
   6     0.591304    -17            0
   6     0.591304    -16            1
   6     0.591304    -15            0
   6     0.591304    -14            3
   6     0.591304    -13            0
   6     0.591304    -12            0
   6     0.591304    -11            0
   6     0.591304    -10            1
   6     0.591304     -9            0
   6     0.591304     -8            0
   6     0.591304     -7            0
   6     0.591304     -6            0
   6     0.591304     -5            0
   6     0.591304     -4            2
   6     0.591304     -3            0
   6     0.591304     -2            1
   6     0.591304     -1            0
   6     0.591304      0            0
   6     0.591304      1            0
   6     0.591304      2            1
   6     0.591304      3            0
   6     0.591304      4            0
   6     0.591304      5            0
   6     0.591304      6            1
   6     0.591304      7            0
   6     0.591304      8            1
   6     0.591304      9            0
   6     0.591304     10            1
   6     0.591304     11            0
   6     0.591304     12            2
   6     0.591304     13            0
   6     0.591304     14            3
   6     0.591304     15            0
   6     0.591304     16            7
   6     0.591304     17            0
   6     0.591304     18           10
   6     0.591304     19            0
   6     0.591304     20            7
   6     0.591304     21            0
   6     0.591304     22           12
   6     0.591304     23            0
   6     0.591304     24           10
   6     0.591304     25            0
   6     0.591304     26            6
   6     0.591304     27            0
   6     0.591304     28           17
   6     0.591304     29            0
   6     0.591304     30           10
   6     0.591304     31            0
   6     0.591304     32           13
   6     0.591304     33            0
   6     0.591304     34            8
   6     0.591304     35            0
   6     0.591304     36           15
   6     0.591304     37            0
   6     0.591304     38           16
   6     0.591304     39            0
   6     0.591304     40           14
   6     0.591304     41            0
   6     0.591304     42           32
   6     0.591304     43            0
   6     0.591304     44           25
   6     0.591304     45            0
   6     0.591304     46           17
   6     0.591304     47            0
   6     0.591304     48           20
   6     0.591304     49            0
   6     0.591304     50           16
   6     0.591304     51            0
   6     0.591304     52           11
   6     0.591304     53            0
   6     0.591304     54           11
   6     0.591304     55            0
   6     0.591304     56           22
   6     0.591304     57            0
   6     0.591304     58           14
   6     0.591304     59            0
   6     0.591304     60           19
   6     0.591304     61            0
   6     0.591304     62           10
   6     0.591304     63            0
   6     0.591304     64           19
   7     0.669565    -64            6
   7     0.669565    -63            0
   7     0.669565    -62           11
   7     0.669565    -61            0
   7     0.669565    -60            4
   7     0.669565    -59            0
   7     0.669565    -58            8
   7     0.669565    -57            0
   7     0.669565    -56            8
   7     0.669565    -55            0
   7     0.669565    -54           15
   7     0.669565    -53            0
   7     0.669565    -52           17
   7     0.669565    -51            0
   7     0.669565    -50           14
   7     0.669565    -49            0
   7     0.669565    -48           24
   7     0.669565    -47            0
   7     0.669565    -46           14
   7     0.669565    -45            0
   7     0.669565    -44           22
   7     0.669565    -43            0
   7     0.669565    -42           18
   7     0.669565    -41            0
   7     0.669565    -40           21
   7     0.669565    -39            0
   7     0.669565    -38           17
   7     0.669565    -37            0
   7     0.669565    -36           23
   7     0.669565    -35            0
   7     0.669565    -34           15
   7     0.669565    -33            0
   7     0.669565    -32           17
   7     0.669565    -31            0
   7     0.669565    -30           12
   7     0.669565    -29            0
   7     0.669565    -28           13
   7     0.669565    -27            0
   7     0.669565    -26           10
   7     0.669565    -25            0
   7     0.669565    -24            6
   7     0.669565    -23            0
   7     0.669565    -22            9
   7     0.669565    -21            0
   7     0.669565    -20            8
   7     0.669565    -19            0
   7     0.669565    -18            5
   7     0.669565    -17            0
   7     0.669565    -16            5
   7     0.669565    -15            0
   7     0.669565    -14            1
   7     0.669565    -13            0
   7     0.669565    -12            2
   7     0.669565    -11            0
   7     0.669565    -10            1
   7     0.669565     -9            0
   7     0.669565     -8            2
   7     0.669565     -7            0
   7     0.669565     -6            1
   7     0.669565     -5            0
   7     0.669565     -4            0
   7     0.669565     -3            0
   7     0.669565     -2            0
   7     0.669565     -1            0
   7     0.669565      0            1
   7     0.669565      1            0
   7     0.669565      2            2
   7     0.669565      3            0
   7     0.669565      4            1
   7     0.669565      5            0
